product_name,price
"REDMI 12 (Pastel Blue, 128 GB)","₹9,499"
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,999"
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹9,999"
"realme C53 (Champion Black, 128 GB)","₹9,999"
"realme C53 (Champion Black, 64 GB)","₹9,999"
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹9,999"
"realme 10 (Clash White, 64 GB)","₹9,999"
"POCO C65 (Matte Black, 128 GB)","₹9,499"
"SAMSUNG Galaxy M04 (Dark Blue, 128 GB)","₹8,108"
"vivo Y16 (Steller Black, 64 GB)","₹10,999"
"Infinix HOT 20 5G (Blaster Green, 64 GB)","₹9,999"
"SAMSUNG Galaxy A03 Core (Bronze, 32 GB)","₹6,999"
"itel S23 (Starry Black, 128 GB)","₹7,010"
"OPPO A18 (Glowing Black, 64 GB)","₹9,999"
"MOTOROLA e13 (Aurora Green, 64 GB)","₹5,999"
"LAVA Blaze 2 (Glass Blue, 128 GB)","₹8,088"
"vivo Y16 (Drizzling Gold, 64 GB)","₹9,490"
"LAVA Blaze 2 (Glass Black, 128 GB)","₹8,098"
"REDMI 9i Sport (Coral Green, 64 GB)","₹8,699"
"Nokia C32 (Breezy Mint, 64 GB)","₹7,999"
"REDMI 9i (Nature Green, 128 GB)","₹9,299"
"LAVA Blaze (Glass Green, 64 GB)","₹6,529"
"vivo Y01 (Elegant Black, 32 GB)","₹8,499"
"REDMI 9 Activ (Metallic Purple, 128 GB)","₹10,380"
"Infinix Hot 11 (Silver Wave, 64 GB)","₹9,999"
"LAVA Blaze (Glass Blue, 64 GB)","₹6,539"
"REDMI 9 Activ (Coral Green, 128 GB)","₹9,899"
"REDMI 9 Activ (Carbon Black, 64 GB)","₹8,860"
"Infinix Hot 12 (7° Purple, 64 GB)","₹9,999"
"REDMI 9i (Midnight Black, 128 GB)","₹9,299"
"Infinix Hot 12 (Polar Black, 64 GB)","₹9,999"
"Infinix Hot 12 (Turquoise Cyan, 64 GB)","₹9,999"
"Tecno Spark 9 (Infinity Black, 64 GB)","₹7,724"
"REDMI 9i Sport (Carbon Black, 64 GB)","₹9,199"
"Infinix Hot 12 (Exploratory Blue, 64 GB)","₹9,999"
"realme Narzo 50 (Speed Black, 64 GB)","₹10,390"
"Tecno Spark 9 (Sky Mirror, 64 GB)","₹7,680"
"Tecno Spark 10C (Black, 8 GB)","₹9,290"
"Micromax IN Note 1 (White, 128 GB)","₹9,990"
"realme C33 (Night Sea, 64 GB)","₹9,999"
"Infinix Hot 11 2022 (Sunset Gold, 64 GB)","₹8,690"
"LAVA Blaze Pro (Glass Blue, 64 GB)","₹8,199"
"realme C33 (Aqua Blue, 64 GB)","₹9,999"
"Infinix Smart 4 Plus (Ocean Wave, 32 GB)","₹9,999"
"Infinix Hot 12 Pro (Halo White, 64 GB)","₹9,499"
"Infinix Smart 4 Plus (Midnight Black, 32 GB)","₹9,999"
"LAVA Blaze (Glass Black, 64 GB)","₹7,490"
"Infinix Hot 12 Pro (Lightsaber Green, 64 GB)","₹9,499"
"Infinix Hot 12 Pro (Electric Blue, 64 GB)","₹9,499"
"REDMI 9i (Nature Green, 64 GB)","₹7,999"
"Infinix Hot 12 Pro (Racing Black, 64 GB)","₹9,499"
"Nokia C32 (Charcoal, 64 GB)","₹7,945"
"Infinix Hot 11 2022 (Polar Black, 64 GB)","₹9,999"
"SAMSUNG Galaxy A03 Core (Black, 32 GB)","₹7,190"
"Infinix Hot 10 Play (Aegean Blue, 64 GB)","₹8,049"
"SAMSUNG Galaxy A03 (Black, 32 GB)","₹8,888"
